ID,ra,dec,Angular size,experiment,Wavelength 1,Wavelength 2,Processed by:,"Notes (Bluer region, nice looking, clear data etc)",Cosmos imaging url (not for the colour gradient program!!),,,,,,,,,,,,
418640,150.518772,1.92652,7.50107,Subaru (Mosaics),V,B,Josh,"Smooth downward trend, constant percentage (boring yawn get better material etc etc)",http://zoo-hst.s3.amazonaws.com/20218710.jpg,galaxy merger? Funky,,,,,,,,,,,
530967,150.224389,2.105603,4.36778,Subaru (Mosaics),V,B,Josh,"Region outside core is equally bright, ",http://zoo-hst.s3.amazonaws.com/20063563.jpg,"Very close to another source, had to use a small radius",,,,,,,,,,,
516335,150.427196,2.083077,4.90272,Subaru (Mosaics),V,B,Josh,Smooth downward etc,http://zoo-hst.s3.amazonaws.com/20056914.jpg,,,,,,,,,,,,
786830,150.37981,2.490185,7.85036,Subaru (Mosaics),V,B,Josh,"Same old, higher blue percent on the inner ring",http://zoo-hst.s3.amazonaws.com/20144874.jpg,,,,,,,,,,,,
560030,150.488415,2.150438,3.98277,Subaru (Mosaics),V,B,Josh,High' blue percentage until close to outside,http://zoo-hst.s3.amazonaws.com/20084423.jpg,,,,,,,,,,,,
759837,150.055588,2.449167,5.25415,Subaru (Mosaics),V,B,Josh,"downward trend, constant ish percentage over much of the disk",http://zoo-hst.s3.amazonaws.com/20122085.jpg,Has a lil blue thing under the disk off to the right in the picture,,,,,,,,,,,
547496,150.422843,2.128753,5.25252,Subaru (Mosaics),V,B,Josh,Elevated blue percentage until far edge of disk,http://zoo-hst.s3.amazonaws.com/20085566.jpg,,,,,,,,,,,,
739711,150.021063,2.420373,4.18523,Subaru (Mosaics),V,B,Josh,Percentage tapers off slower,http://zoo-hst.s3.amazonaws.com/20121429.jpg,,,,,,,,,,,,
547306,150.288027,2.131832,3.99593,Subaru (Mosaics),V,B,Josh,"slight uptick in blue perentage right at the edge of the disk, otherwise completely normal",http://zoo-hst.s3.amazonaws.com/20089247.jpg,,,,,,,,,,,,
800486,149.920248,2.514216,3.50346,,,,,,http://zoo-hst.s3.amazonaws.com/20153793.jpg,,,,,,,,,,,,
795779,149.938388,2.505937,6.70631,,,,,,http://zoo-hst.s3.amazonaws.com/20153846.jpg,,,,,,,,,,,,
797081,150.544708,2.507246,3.58285,,,,,,http://zoo-hst.s3.amazonaws.com/20140824.jpg,,,,,,,,,,,,
400930,150.245178,1.900049,4.80363,,,,,,http://zoo-hst.s3.amazonaws.com/20034493.jpg,,,,,,,,,,,,
403300,149.830573,1.902144,4.82012,,,,,,http://zoo-hst.s3.amazonaws.com/20043687.jpg,,,,,,,,,,,,
475972,149.526013,2.020502,4.60477,,,,,,http://zoo-hst.s3.amazonaws.com/20077710.jpg,,,,,,,,,,,,
737604,149.997374,2.416185,5.26114,,,,,,http://zoo-hst.s3.amazonaws.com/20121453.jpg,,,,,,,,,,,,
554361,149.781896,2.139093,7.16213,,,,,,http://zoo-hst.s3.amazonaws.com/20099350.jpg,,,,,,,,,,,,
505243,149.737681,2.065205,5.64865,,,,,,http://zoo-hst.s3.amazonaws.com/20071148.jpg,,,,,,,,,,,,
428515,149.890779,1.943589,4.69695,,,,,,http://zoo-hst.s3.amazonaws.com/20044306.jpg,,,,,,,,,,,,
541830,149.71438,2.121671,5.94566,,,,,,http://zoo-hst.s3.amazonaws.com/20073708.jpg,,,,,,,,,,,,
470509,150.222529,2.011668,5.24835,,,,,,http://zoo-hst.s3.amazonaws.com/20065452.jpg,,,,,,,,,,,,
806711,149.92605,2.526277,5.70232,,,,,,http://zoo-hst.s3.amazonaws.com/20153664.jpg,,,,,,,,,,,,
487555,149.59587,2.040723,3.77581,,,,,,http://zoo-hst.s3.amazonaws.com/20075961.jpg,,,,,,,,,,,,
450904,150.239472,1.983735,5.68852,,,,,,http://zoo-hst.s3.amazonaws.com/20062817.jpg,,,,,,,,,,,,
572088,150.634782,2.165636,5.35748,,,,,,http://zoo-hst.s3.amazonaws.com/20081304.jpg,,,,,,,,,,,,
593404,149.912464,2.200336,3.79867,,,,,,http://zoo-hst.s3.amazonaws.com/20095867.jpg,,,,,,,,,,,,
420847,150.143696,1.930357,4.45467,,,,,,http://zoo-hst.s3.amazonaws.com/20037801.jpg,,,,,,,,,,,,
847062,149.477202,2.582377,3.8978,Subaru (Mosaics),V,B,Teo,both decrease,http://zoo-hst.s3.amazonaws.com/20160973.jpg,,,,,,,,,,,,
