ID,ra,dec,Angular size,experiment,Wavelength 1,Wavelength 2,Processed by:,"Notes (Bluer region, nice looking, clear data etc)",Cosmos imaging url (not for the colour gradient program!!),,,,,,,,,,,,
961641,150.400696,2.760769,4.72278,,,,,,,,,,,,,,,,,,
654973,150.694011,2.291338,6.98885,,,,,,,,,,,,,,,,,,
962540,150.350263,2.762608,5.41013,,,,,,,,,,,,,,,,,,
962936,150.358287,2.764751,4.50478,,,,,,,,,,,,,,,,,,
643987,150.004316,2.276823,3.89233,,,,,,,,,,,,,,,,,,
627781,149.753764,2.251167,3.84194,,,,,,,,,,,,,,,,,,
945269,149.529768,2.733758,5.42353,,,,,,,,,,,,,,,,,,
556341,150.29319,2.145842,4.19264,,,,,,,,,,,,,,,,,,
946918,150.389504,2.739479,3.70248,,,,,,,,,,,,,,,,,,
942345,149.479864,2.729231,5.09153,,,,,,,,,,,,,,,,,,
942347,150.732244,2.730041,4.49077,,,,,,,,,,,,,,,,,,
637185,149.705398,2.263652,7.72576,,,,,,,,,,,,,,,,,,
575446,149.880198,2.173003,4.47217,,,,,,,,,,,,,,,,,,
619051,150.709648,2.237109,5.23669,,,,,,,,,,,,,,,,,,
921446,150.331484,2.69901,3.64664,,,,,,,,,,,,,,,,,,
606853,149.860189,2.220465,5.58371,,,,,,,,,,,,,,,,,,
612744,150.039191,2.228478,4.7948,,,,,,,,,,,,,,,,,,
538696,150.528719,2.119385,3.92606,,,,,,,,,,,,,,,,,,
781581,149.73175,2.484156,4.5797,,,,,,,,,,,,,,,,,,
531390,149.710389,2.107654,3.97266,,,,,,,,,,,,,,,,,,
731718,150.079561,2.406822,6.81251,,,,,,,,,,,,,,,,,,
815565,149.962936,2.536748,3.75704,,,,,,,,,,,,,,,,,,
435423,150.42644,1.955153,4.14971,,,,,,,,,,,,,,,,,,
529051,149.885965,2.102338,5.34194,,,,,,,,,,,,,,,,,,
795331,150.692826,2.524164,180.59309,,,,,,,,,,,,,,,,,,
783533,150.553314,2.486099,4.93793,,,,,,,,,,,,,,,,,,
454533,149.969776,1.988048,4.71582,,,,,,,,,,,,,,,,,,
592458,150.005023,2.199546,5.57557,,,,,,,,,,,,,,,,,,
529834,150.516242,2.103513,7.14776,,,,,,,,,,,,,,,,,,
420447,149.795886,1.930913,4.67042,,,,,,,,,,,,,,,,,,
847147,150.216716,2.583412,4.1145,,,,,,,,,,,,,,,,,,
530841,150.589461,2.105694,6.17167,,,,,,,,,,,,,,,,,,
498357,150.21844,2.057749,7.79026,,,,,,,,,,,,,,,,,,
835071,149.510156,2.562589,5.70472,,,,,,,,,,,,,,,,,,
232739,150.33744,1.633584,5.08526,,,,,,,,,,,,,,,,,,
546249,150.128423,2.127127,5.04352,,,,,,,,,,,,,,,,,,
498848,150.076791,2.065636,7.07802,,,,,,,,,,,,,,,,,,
566626,149.857188,2.161991,4.13974,,,,,,,,,,,,,,,,,,
566989,150.18111,2.158829,5.43616,,,,,,,,,,,,,,,,,,
249385,150.077174,1.65779,5.2206,,,,,,,,,,,,,,,,,,
249989,150.685402,1.661076,4.73796,,,,,,,,,,,,,,,,,,
506625,150.423203,2.06889,3.83799,,,,,,,,,,,,,,,,,,
250122,150.685519,1.661562,4.71871,,,,,,,,,,,,,,,,,,
507133,150.562878,2.070134,4.48206,,,,,,,,,,,,,,,,,,
815426,150.619239,2.535174,4.81558,,,,,,,,,,,,,,,,,,
770181,149.818166,2.466852,3.92116,,,,,,,,,,,,,,,,,,
487507,150.330253,2.039883,4.46468,,,,,,,,,,,,,,,,,,
492719,150.41778,2.057447,9.62034,,,,,,,,,,,,,,,,,,
466425,150.298582,2.007135,3.83341,,,,,,,,,,,,,,,,,,
762959,149.997658,2.453661,4.67392,,,,,,,,,,,,,,,,,,
758290,150.719963,2.446741,5.53067,,,,,,,,,,,,,,,,,,
763002,149.60751,2.454463,5.44331,,,,,,,,,,,,,,,,,,
953904,149.783844,2.748775,4.28481,,,,,,,,,,,,,,,,,,
758597,149.821226,2.446527,7.57502,,,,,,,,,,,,,,,,,,
759378,150.63327,2.44846,5.38952,,,,,,,,,,,,,,,,,,
443302,150.28449,1.96727,4.25587,,,,,,,,,,,,,,,,,,
818329,150.661329,2.539961,5.19868,,,,,,,,,,,,,,,,,,
443369,150.503649,1.967488,6.51898,,,,,,,,,,,,,,,,,,
620318,150.312323,2.242664,3.48485,,,,,,,,,,,,,,,,,,
622993,149.731924,2.245554,3.51698,,,,,,,,,,,,,,,,,,
623189,150.052851,2.243507,4.33998,,,,,,,,,,,,,,,,,,
779250,150.324867,2.484068,8.52333,,,,,,,,,,,,,,,,,,
849908,150.383766,2.587095,5.66347,,,,,,,,,,,,,,,,,,
