,id,ratio,b_avg,b_per,r_avg,r_per,radius
0,437093,0.2776232657150115,6.4513726234436035,21.729665791554126,23.23786735534668,78.27033420844587,5
1,437093,0.28234346064223054,6.4513726234436035,22.017772095225226,22.84937858581543,77.98222790477477,5
2,437093,0.2949477906407167,5.571282863616943,22.776809441466504,18.889047622680664,77.22319055853349,5
3,437093,0.3291148607010247,4.407156944274902,24.76195778350091,13.390938758850098,75.23804221649908,5
4,437093,0.3535694084692643,3.0951242446899414,26.121261773277794,8.753936767578125,73.8787382267222,5
5,456823,0.2602707186905203,4.696018218994141,20.651969043679255,18.042821884155273,79.34803095632074,5
6,456823,0.2506080581144173,4.426551818847656,20.038896798111733,17.663246154785156,79.96110320188826,5
7,456823,0.24712848709187393,3.1716537475585938,19.815800027801657,12.834027290344238,80.18419997219834,5
8,456823,0.23132817910299955,1.9247664213180542,18.786882573540872,8.320501327514648,81.21311742645914,5
9,456823,0.1799949568274356,0.9247115254402161,15.253875093786384,5.137430191040039,84.74612490621361,5
10,479295,0.37270977274986217,1.7129640579223633,27.151389182815855,4.595973014831543,72.84861081718415,7
11,479295,0.37270977274986217,1.7129640579223633,27.151389182815855,4.595973014831543,72.84861081718415,7
12,479295,0.38546032973011135,1.689651608467102,27.821823653745415,4.383464336395264,72.17817634625459,7
13,479295,0.32089745562932676,1.5062105655670166,24.29389611296047,4.69374418258667,75.70610388703953,7
14,479295,0.4143736468678974,1.2535640001296997,29.297325200135035,3.0252020359039307,70.70267479986497,7
15,479295,0.4826259574473994,1.3258368968963623,32.552104934026964,2.74713134765625,67.44789506597304,7
16,479295,0.6153526025274981,1.365349531173706,38.09401127436033,2.21880841255188,61.90598872563967,7
17,483955,0.5139213481772522,8.098694801330566,33.94637038416883,15.758626937866211,66.05362961583117,6
18,483955,0.5139213481772522,8.098694801330566,33.94637038416883,15.758626937866211,66.05362961583117,6
19,483955,0.43606421517452904,5.294488430023193,30.3652309253826,12.141533851623535,69.6347690746174,6
20,483955,0.38528063212474656,3.2259764671325684,27.812460752721435,8.373056411743164,72.18753924727856,6
21,483955,0.32409813926939707,2.0828654766082764,24.476897116419632,6.426650524139404,75.52310288358036,6
22,483955,0.40568591290974326,1.6507575511932373,28.860352741956493,4.0690531730651855,71.13964725804351,6
23,485148,0.5127065316586059,3.1999895572662354,33.89332437775946,6.241366863250732,66.10667562224054,5
24,485148,0.42068796528991115,2.546863555908203,29.611566759775002,6.054044246673584,70.388433240225,5
25,485148,0.34741140992570396,1.5797725915908813,25.78361793335713,4.547267436981201,74.21638206664286,5
26,485148,0.552576779829787,1.1408894062042236,35.590947063524126,2.064671277999878,64.40905293647587,5
27,485148,0.5781515798411664,0.6668824553489685,36.63473060676178,1.1534733772277832,63.36526939323822,5
28,551551,0.9927898636438196,1.8665261268615723,49.81909441412461,1.8800817728042603,50.18090558587539,6
29,551551,0.7990032430370088,2.1489579677581787,44.413663295468105,2.6895484924316406,55.586336704531895,6
30,551551,1.054668432995684,3.444704294204712,51.330346836447426,3.2661490440368652,48.669653163552574,6
31,551551,1.1985293908533756,3.918617010116577,54.5150497345936,3.2695209980010986,45.4849502654064,6
32,551551,1.8816924777229025,2.915370225906372,65.29817085859924,1.5493340492248535,34.701829141400765,6
33,551551,1.7685976780389645,2.0393240451812744,63.88063141379524,1.153074026107788,36.11936858620476,6
34,552529,0.41245504297512714,10.621136665344238,29.2012864428132,25.75101661682129,70.7987135571868,5
35,552529,0.41245504297512714,10.621136665344238,29.2012864428132,25.75101661682129,70.7987135571868,5
36,552529,0.33908622292514956,7.871053695678711,25.322209811436718,23.212543487548828,74.67779018856328,5
37,552529,0.2565934016890097,4.660553455352783,20.41976357221977,18.163185119628906,79.58023642778022,5
38,552529,0.19928584512788888,2.420557975769043,16.61704304586681,12.146161079406738,83.38295695413319,5
39,554122,0.4385865010177261,1.907374620437622,30.48732215320029,4.348913192749023,69.5126778467997,6
40,554122,0.4543303211775169,2.0695440769195557,31.23983008273269,4.555152893066406,68.7601699172673,6
41,554122,0.4021583195121882,1.4549341201782227,28.68137741051234,3.617814302444458,71.31862258948766,6
42,554122,0.42562427456897667,1.2531050443649292,29.855290917914534,2.944157838821411,70.14470908208547,6
43,554122,0.3966230504501791,1.14203679561615,28.3987186322275,2.8794009685516357,71.6012813677725,6
44,554122,0.35849793954342674,0.9420018196105957,26.389288427181064,2.6276352405548096,73.61071157281893,6
45,573095,0.32202123933118343,4.128472805023193,24.35825006064921,12.8204984664917,75.64174993935079,5
46,573095,0.3073093625188464,3.2100331783294678,23.507011525316464,10.445608139038086,76.49298847468354,5
47,573095,0.255445915569037,1.8653274774551392,20.347026693957968,7.302240371704102,79.65297330604203,5
48,573095,0.172342997999079,0.8066316843032837,14.700731636835725,4.680385589599609,85.29926836316427,5
49,573095,0.05564283554833308,0.19202376902103424,5.270990686867163,3.4510061740875244,94.72900931313283,5
50,595481,0.42811578735641037,12.24802303314209,29.977666457206304,28.6091365814209,70.02233354279369,10
51,595481,0.3958930432866055,10.918705940246582,28.36127346508457,27.579938888549805,71.63872653491543,10
52,595481,0.4058845432741665,10.410009384155273,28.870403705335676,25.6477108001709,71.12959629466432,10
53,595481,0.408754541276478,10.08501148223877,29.01531312233456,24.672536849975586,70.98468687766544,10
54,595481,0.43359720840049953,9.910982131958008,30.24539988357503,22.85757827758789,69.75460011642497,10
55,595481,0.46860118104977455,10.130760192871094,31.90799429391801,21.619152069091797,68.09200570608199,10
56,595481,0.4980515665337145,9.789996147155762,33.24662365836561,19.656591415405273,66.7533763416344,10
